state_id,state,name,href,full_url,stop_type,Chain,Latitude,Longitude,LD_URL,LD_Latitude,LD_Longitude,Highway,Exit,Street Address,City,State,Postal Code,Phone,Fax,# of Parking Spots,# of Reserved Parking Spots,# of Paid Parking Spots,# of Fuel Lanes,# of Showers,# of Men's Showers,# of Truck Service Bays,Phone 2,Unleaded,Diesel,Bulk Def,Phone 3,Phone 4,Propane,Phone 5,Mile Marker,Road Name,Hours of Operation,https,http
3,Arizona,ARCO TRAVEL CENTER,location_details.php?id=45155,https://www.truckstopsandservices.com/location_details.php?id=45155,Trucker,arco,33.670532,-114.19953,,33.670532,-114.19953,I-10,19,185 N RIGGLES AVE,QUARTZSITE,AZ,85359,928-927-3600 (TRAVEL CENTER),928-927-3604,100.0,0.0,0.0,9.0,2.0,1.0,0.0,,,,,,,,,,,,,
3,Arizona,CAMP VERDE SHELL,location_details.php?id=469,https://www.truckstopsandservices.com/location_details.php?id=469,Trucker,shell,34.575491,-111.883001,,34.575491,-111.883001,I-17,287,1673 HWY 260,CAMP VERDE,AZ,86322,928-567-3886 (TRAVEL CENTER),928-567-2336,0.0,0.0,0.0,2.0,0.0,,0.0,,,,,,,,,,,,,
3,Arizona,CARIOCA # 11,location_details.php?id=45160,https://www.truckstopsandservices.com/location_details.php?id=45160,Trucker,valero,34.69898,-113.609404,,34.69898,-113.609404,US 93,,18183 S US 93,WIKIEUP,AZ,85360,928-765-2255 (TRAVEL CENTER),,15.0,0.0,0.0,4.0,0.0,,0.0,,,,,,,,,,,,,
3,Arizona,CARTER TRAVEL CENTER,location_details.php?id=10284,https://www.truckstopsandservices.com/location_details.php?id=10284,Trucker,conoco,35.242211,-111.567152,,35.242211,-111.567152,US 89,,7180 N US 89,FLAGSTAFF,AZ,86004,928-714-9115 (TRAVEL CENTER),928-714-9045,35.0,0.0,0.0,8.0,0.0,,0.0,928-714-9115 (MARY'S CAFE),,,,,,,,,,,,
3,Arizona,CHAMBERS MOBIL,location_details.php?id=54070,https://www.truckstopsandservices.com/location_details.php?id=54070,Trucker,mobil oil type,35.190412,-109.433621,,35.190412,-109.433621,I-40,333,I-40 & HWY 191,CHAMBERS,AZ,86502,928-688-6880 (TRAVEL CENTER),,,,,3.0,,,,,,,,,,,,,,,,
3,Arizona,CIRCLE K,location_details.php?id=550,https://www.truckstopsandservices.com/location_details.php?id=550,Trucker,ind dealer,32.781843,-111.618654,,32.781843,-111.618654,I-10,203,3125 N TOLTEC RD,ELOY,AZ,85131,520-466-7361 (TRAVEL CENTER),,55.0,0.0,0.0,3.0,0.0,,0.0,,,,,,,,,,,,,
3,Arizona,CIRCLE K,location_details.php?id=10274,https://www.truckstopsandservices.com/location_details.php?id=10274,Trucker,circle_k,33.437401,-112.137167,,33.437401,-112.137167,AZ 85,35,3618 W BUCKEYE RD,PHOENIX,AZ,85009,602-269-8482 (TRAVEL CENTER),602-278-1791,80.0,0.0,0.0,6.0,0.0,,0.0,,,,,,,,,,,,,
3,Arizona,CIRCLE K,location_details.php?id=18474,https://www.truckstopsandservices.com/location_details.php?id=18474,Trucker,circle_k,33.436249,-112.168649,,33.436249,-112.168649,I-10,137,5049 W BUCKEYE RD,PHOENIX,AZ,85043,602-278-5088 (TRAVEL CENTER),,0.0,0.0,0.0,2.0,0.0,,0.0,,,,,,,,,,,,,
3,Arizona,Cocopah Korner Store,location_details.php?id=64171,https://www.truckstopsandservices.com/location_details.php?id=64171,Trucker,,32.609832,-114.6536016,https://www.somertonaz.gov/business_detail_T52_R91.php,32.609832,-114.6536016,US 95,,,Somerton,AZ,85350,928-341-1444,,,,,,,,,,,,,,,,,,,,,
3,Arizona,CORNER STORE,location_details.php?id=45156,https://www.truckstopsandservices.com/location_details.php?id=45156,Trucker,valero,31.555046,-110.25873,,31.555046,-110.25873,AZ 90,AZ 92,3999 E FRY BLVD,SIERRA VISTA,AZ,85635,520-458-0300 (TRAVEL CENTER),,0.0,0.0,0.0,2.0,0.0,,0.0,,,,,,,,,,,,,
3,Arizona,CORNER STORE,location_details.php?id=45157,https://www.truckstopsandservices.com/location_details.php?id=45157,Trucker,valero,33.458766,-112.271841,,33.458766,-112.271841,I-10,133-A,1025 N 99 AVE,TOLLESON,AZ,85353,623-936-9777 (TRAVEL CENTER),,10.0,0.0,0.0,2.0,0.0,,0.0,,,,,,,,,,,,,
3,Arizona,CRAZY FRED'S TRUCK STOP,location_details.php?id=682,https://www.truckstopsandservices.com/location_details.php?id=682,Trucker,ind dealer,35.144621,-114.094732,,35.144621,-114.094732,I-40,44,2770 W OLD HWY 66,KINGMAN,AZ,86401,928-753-3834 (TRAVEL CENTER),928-753-4178,45.0,0.0,0.0,5.0,4.0,,2.0,,,,,,,,,,,,,
3,Arizona,DAVE'S FAST STOP,location_details.php?id=10281,https://www.truckstopsandservices.com/location_details.php?id=10281,Trucker,chevron,33.418786,-110.813126,,33.418786,-110.813126,US 60,,2060 HWY 60,CENTRAL HEIGHTS,AZ,85501,928-425-3297 (TRAVEL CENTER),928-425-9446,10.0,0.0,0.0,5.0,0.0,,0.0,,,,,,,,,,,,,
3,Arizona,DISCOUNT ZONE,location_details.php?id=45154,https://www.truckstopsandservices.com/location_details.php?id=45154,Trucker,shell,33.428368,-112.081817,,33.428368,-112.081817,I-17,196,2112 S 7TH  AVE,PHOENIX,AZ,85043,602-253-9717 (TRAVEL CENTER),,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,
