clean_line1,clean_line2,line3,city,zip_code,label,phone,year,major_city,state,chain,address_standardized_ON_parenthesis,address_standardized_OFF_parenthesis,Address_Type,Exit_Number,Flagged,Flag_Reason,Is_Unclear_OCR,Main_Road,Secondary_Road,Exit_Number_2,Exit_Number_3,Tertiary_Road
"Cheyenne , 82001 Big D Truck Stop ( Conoco )",307-635-1093 I-25 Exit 9 / I-80 Exit 358 EB / 359 C WB,24 HRS,Cheyenne,82001,Big D Truck Stop ( Conoco ),307-635-1093,2006,Cheyenne,WY,Conoco,,I-25 Exit 9 / I-80 Exit 358 EB / 359 C WB,Exit,9,False,,False,I-25,,358,359,
"Cheyenne , 82001 Big D Truck Stop ( Exxon )",307-635-1093 I-25 Exit 9 / I-80 Exit 358 EB / 359 C WB,HRS 484 000,Cheyenne,82001,Big D Truck Stop ( Exxon ),307-635-1093,2007,Cheyenne,WY,Exxon,,I-25 Exit 9 / I-80 Exit 358 EB / 359 C WB,Exit,9,False,,False,I-25,,358,359,
"Cheyenne , 82001 Big D Truck Stop ( Exxon ) / 359 C WB",307-635-1093 I-25 Exit 9 / I-80 Exit 358 EB / 359 C WB,HRS 24 HRS,Cheyenne,82001,Big D Truck Stop ( Exxon ) / 359 C WB,307-635-1093,2008,Cheyenne,WY,Exxon,,I-25 Exit 9 / I-80 Exit 358 EB / 359 C WB,Exit,9,False,,False,I-25,,358,359,
Cheyenne ( 82001 ) Big D Truck Stop ( Exxon ),307-635-1093 I-25 Exit 9 / I-80 Exit 359 C,,Cheyenne,82001,Big D Truck Stop ( Exxon ),307-635-1093,2014,Cheyenne,WY,Exxon,,I-25 Exit 9 / I-80 Exit 359 C,Exit,9,False,,False,I-25,,359,,
Cheyenne ( 82001 ) Big D Truck Stop ( Exxon ),307-635-1093 I-25 Exit 9 / I-80 Exit 359 C,24,Cheyenne,82001,Big D Truck Stop ( Exxon ),307-635-1093,2015,Cheyenne,WY,Exxon,,I-25 Exit 9 / I-80 Exit 359 C,Exit,9,False,,False,I-25,,359,,
Cheyenne ( 82001 ) Big D Truck Stop ( Exxon ),307-635-1093 I-25 Exit 9 / I-80 Exit 359 C,24,Cheyenne,82001,Big D Truck Stop ( Exxon ),307-635-1093,2016,Cheyenne,WY,Exxon,,I-25 Exit 9 / I-80 Exit 359 C,Exit,9,False,,False,I-25,,359,,
"Cheyenne , 82007 Love's Travel Stop # 220",9 307-632-7902 I-25 Exit 7 ( College Dr ),24 HRS,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2006,Cheyenne,WY,Love's,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
"Cheyenne , 82007 Love's Travel Stop # 220",307-632-7902 I-25 Exit 7 ( College Dr ),HRS 24 48 M <U+2610><U+2610>,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2007,Cheyenne,WY,Love's,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
"Cheyenne , 82007 Love's Travel Stop # 220",307-632-7902 I-25 Exit 7 ( College Dr ),24 HRS IN,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2008,Cheyenne,WY,Love's,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
Cheyenne ( 82007 ) Love's Travel Stop # 220,307-632-7902 I-25 Exit 7 ( College Dr ),MO DO,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2014,Cheyenne,WY,Love's,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
Cheyenne ( 82007 ) Love's Travel Stop # 220,307-632-7902 I-25 Exit 7 ( College Dr ),24 M,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2015,Cheyenne,WY,Love's,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
Cheyenne ( 82007 ) Love's Travel Stop # 220,9 307-632-7902 I-25 Exit 7 ( College Dr ),24 m MO <U+2610> <U+2610> <U+2610>,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2016,Cheyenne,WY,Love's,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
