clean_line1,clean_line2,line3,city,zip_code,label,phone,address,year,major_city,state,chain
"Blandford , 01008 Blandford Plaza EB Exxon # 5020",413-848-2056 I-90 ( MATP ) MM 29 EB,<U+25A1> <U+2610>,Blandford,1008,Blandford Plaza EB Exxon # 5020,413-848-2056,I-90 ( MATP ) MM 29 EB,2006,Blandford,MA,Exxon
"Blandford , 01008 Blandford Plaza EB Exxon # 5020",413-848-2056 I-90 ( MATP ) MM 29 EB,24 HRS S,Blandford,1008,Blandford Plaza EB Exxon # 5020,413-848-2056,I-90 ( MATP ) MM 29 EB,2007,Blandford,MA,Exxon
"Blandford , 01008 Blandford Plaza EB Exxon # 5020",413-848-2056 I-90 ( MATP ) MM 29 EB,HAS 24 SO <U+2610> <U+2610>,Blandford,1008,Blandford Plaza EB Exxon # 5020,413-848-2056,I-90 ( MATP ) MM 29 EB,2008,Blandford,MA,Exxon
D Blandford ( 01008 ) Blandford Plaza EB # 9020 ( Gulf ),413-848-2056 I-90 ( MATP ) MM 29 EB,24 S <U+2610>,Blandford,1008,Blandford Plaza EB # 9020 ( Gulf ),413-848-2056,I-90 ( MATP ) MM 29 EB,2014,Blandford,MA,Gulf
D Blandford ( 01008 ) Blandford Plaza EB # 9020 ( Gulf ),2 413-848-2056 I-90 ( MATP ) MM 29 EB,24 S,Blandford,1008,Blandford Plaza EB # 9020 ( Gulf ),413-848-2056,I-90 ( MATP ) MM 29 EB,2015,Blandford,MA,Gulf
Blandford ( 01008 ) Blandford Plaza EB # 850 ( Gulf ),413-848-2056 I-90 ( MATP ) MM 29 EB,24 S <U+2610> <U+2610>,Blandford,1008,Blandford Plaza EB # 850 ( Gulf ),413-848-2056,I-90 ( MATP ) MM 29 EB,2016,Blandford,MA,Gulf
"Chicopee , 01022 Pride Travel Center",413-592-6190 I-90 Exit 6 ( at end of I-291 ),S 000 00,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 Exit 6 ( at end of I-291 ),2006,Chicopee,MA,
"E Chicopee , 01022 Pride Travel Center",413-592-6190 I-90 Exit 6 ( at end of I-291 ),FRS 24 XL 24,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 Exit 6 ( at end of I-291 ),2007,Chicopee,MA,
"E Chicopee , 01022 Pride Travel Center",413-592-6190 I-90 Exit 6 ( at end of I-291 ),FORS 24 XL 24,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 Exit 6 ( at end of I-291 ),2008,Chicopee,MA,
E Chicopee ( 01022 ) Pride Travel Center,413-592-6190 I-90 ( MATP ) Exit 6 ( at end of I-291 ) .,24 XL 24,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 ( MATP ) Exit 6 ( at end of I-291 ) .,2014,Chicopee,MA,
Chicopee ( 01022 ) Pride Travel Center,413-592-6190 I-90 ( MATP ) Exit 6 ( at end of I-291 ) AMBEST,24 HRS XL 24,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 ( MATP ) Exit 6 ( at end of I-291 ) AMBEST,2015,Chicopee,MA,
Chicopee ( 01022 ) Pride Travel Center,413-592-6190 I-90 ( MATP ) Exit 6 ( at end of I-291 ) .,24 XL 24 <U+25A1>,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 ( MATP ) Exit 6 ( at end of I-291 ) .,2016,Chicopee,MA,
"Ludlow , 01056 Ludlow Plaza EB Exxon # 5030",413-583-3779 I-90 ( MATP ) MM 56 EB,24 HRS SOO 0,Ludlow,1056,Ludlow Plaza EB Exxon # 5030,413-583-3779,I-90 ( MATP ) MM 56 EB,2006,Ludlow,MA,Exxon
