"","filename","record_num","clean_line1","clean_line2","line3","city","zip_code","label","phone","address","parking","gray_parking","identifier","year","panel","major_city","state","chain","p_identifier","identifier2","identifier3"
"1","RVersFriend2006-050-ocr.csv",3,"Blandford , 01008 Blandford Plaza EB Exxon # 5020","413-848-2056 1-90 ( MATP ) MM 29 EB","<U+25A1> <U+2610>","Blandford","01008","Blandford Plaza EB Exxon # 5020","413-848-2056","1-90 ( MATP ) MM 29 EB",NA,NA,"01008_413-848-2056",2006,1,"Blandford","MA","Exxon",NA,"01008_413-848-2056","01008_413-848-2056_Exxon"
"2","RVersFriend2007-046-ocr.csv",12,"Blandford , 01008 Blandford Plaza EB Exxon # 5020","413-848-2056 1-90 ( MATP ) MM 29 EB","24 HRS S","Blandford","01008","Blandford Plaza EB Exxon # 5020","413-848-2056","1-90 ( MATP ) MM 29 EB","S","S","01008_413-848-2056",2007,1,"Blandford","MA","Exxon",NA,"01008_413-848-2056","01008_413-848-2056_Exxon"
"3","TF2008_104_117-5-ocr.csv",6,"Blandford , 01008 Blandford Plaza EB Exxon # 5020","413-848-2056 1-90 ( MATP ) MM 29 EB","HAS 24 SO <U+2610> <U+2610>","Blandford","01008","Blandford Plaza EB Exxon # 5020","413-848-2056","1-90 ( MATP ) MM 29 EB","S","S","01008_413-848-2056",2008,1,"Blandford","MA","Exxon",NA,"01008_413-848-2056","01008_413-848-2056_Exxon"
"4","TF2014_102_115-6-ocr.csv",1,"D Blandford ( 01008 ) Blandford Plaza EB # 9020 ( Gulf )","413-848-2056 1-90 ( MATP ) MM 29 EB","24 S <U+2610>","Blandford","01008","Blandford Plaza EB # 9020 ( Gulf )","413-848-2056","1-90 ( MATP ) MM 29 EB","S",NA,"01008_413-848-2056",2014,1,"Blandford","MA","Gulf",NA,"01008_413-848-2056","01008_413-848-2056_Gulf"
"5","TF2015_114_127-0-ocr.csv",1,"D Blandford ( 01008 ) Blandford Plaza EB # 9020 ( Gulf )","2 413-848-2056 1-90 ( MATP ) MM 29 EB","24 S","Blandford","01008","Blandford Plaza EB # 9020 ( Gulf )","413-848-2056","1-90 ( MATP ) MM 29 EB","S",NA,"01008_413-848-2056",2015,1,"Blandford","MA","Gulf",NA,"01008_413-848-2056","01008_413-848-2056_Gulf"
"6","TF2016_114_129-0-ocr.csv",1,"Blandford ( 01008 ) Blandford Plaza EB # 850 ( Gulf )","413-848-2056 1-90 ( MATP ) MM 29 EB","24 S <U+2610> <U+2610>","Blandford","01008","Blandford Plaza EB # 850 ( Gulf )","413-848-2056","1-90 ( MATP ) MM 29 EB","S","S","01008_413-848-2056",2016,1,"Blandford","MA","Gulf",NA,"01008_413-848-2056","01008_413-848-2056_Gulf"
"7","RVersFriend2006-050-ocr.csv",12,"Chicopee , 01022 Pride Travel Center","413-592-6190 1-90 Exit 6 ( at end of 1-291 )","S 000 00","Chicopee","01022","Pride Travel Center","413-592-6190","1-90 Exit 6 ( at end of 1-291 )","S",NA,"01022_413-592-6190",2006,1,"Chicopee","MA",NA,NA,"01022_413-592-6190","01022_413-592-6190_NA"
"8","RVersFriend2007-046-ocr.csv",21,"E Chicopee , 01022 Pride Travel Center","413-592-6190 1-90 Exit 6 ( at end of I - 291 )","FRS 24 XL 24","Chicopee","01022","Pride Travel Center","413-592-6190","1-90 Exit 6 ( at end of I - 291 )","XL","XL","01022_413-592-6190",2007,1,"Chicopee","MA",NA,NA,"01022_413-592-6190","01022_413-592-6190_NA"
"9","TF2008_104_117-5-ocr.csv",14,"E Chicopee , 01022 Pride Travel Center","413-592-6190 1-90 Exit 6 ( at end of I - 291 )","FORS 24 XL 24","Chicopee","01022","Pride Travel Center","413-592-6190","1-90 Exit 6 ( at end of I - 291 )","XL",NA,"01022_413-592-6190",2008,1,"Chicopee","MA",NA,NA,"01022_413-592-6190","01022_413-592-6190_NA"
"10","TF2014_102_115-6-ocr.csv",9,"E Chicopee ( 01022 ) Pride Travel Center","413-592-6190 1-90 ( MATP ) Exit 6 ( at end of I - 291 ) .","24 XL 24","Chicopee","01022","Pride Travel Center","413-592-6190","1-90 ( MATP ) Exit 6 ( at end of I - 291 ) .","XL",NA,"01022_413-592-6190",2014,1,"Chicopee","MA",NA,NA,"01022_413-592-6190","01022_413-592-6190_NA"
